"year","mpid","firstname","surname","party"
2015,40706,"Bridget","Phillipson","Lab"
2015,40707,"Julie","Elliott","Lab"
2015,40708,"Sharon","Hodgson","Lab"
2015,40709,"Justin","Tomlinson","Con"
2015,40710,"Justine","Greening","Con"
2015,40711,"Nick","Brown","Lab"
2015,40712,"Sadiq","Khan","Lab"
2015,40713,"Chi","Onwurah","Lab"
2015,40714,"Jane","Ellison","Con"
2015,40715,"Jeffrey","Donaldson","DUP"
2015,40716,"Ian","Lucas","Lab"
2015,40717,"Mark","Durkan","SDLP"
2015,40718,"Susan","Elan Jones","Lab"
2015,40719,"Catherine","McKinnell","Lab"
2015,40720,"Ian","Paisley","DUP"
2015,40722,"Marcus","Jones","Con"
2015,40723,"Sylvia","Hermon","Independent"
2015,40724,"Andrew","Smith","Lab"
2015,40725,"Danny","Kinahan","UUP"
2015,40726,"Jim","Shannon","DUP"
2015,40727,"Nick","Smith","Lab"
2015,40728,"Mark","Williams","LDem"
2015,40729,"Hywel","Williams","PC"
2015,40730,"Alan","Brown","SNP"
2015,40731,"Nia","Griffith","Lab"
2015,40732,"Angus","MacNeil","SNP"
2015,40733,"Jeremy","Corbyn","Lab"
2015,40734,"Chris","Evans","Lab"
2015,40735,"Mhairi","Black","SNP"
2015,40736,"David","Simpson","DUP"
2015,40737,"Charles","Walker","Con"
2015,40738,"Jenny","Chapman","Lab"
2015,40739,"Chris","Law","SNP"
2015,40740,"Sammy","Wilson","DUP"
2015,40741,"John","McNally","SNP"
2015,40742,"Suella","Fernandes","Con"
2015,40743,"Peter","Grant","SNP"
2015,40744,"Derek","Twigg","Lab"
2015,40745,"Tasmina","Ahmed-Sheikh","SNP"
2015,40746,"Emma","Lewell-Buck","Lab"
2015,40747,"Martin","Docherty","SNP"
2015,40748,"Michael","Weir","SNP"
2015,40749,"Rebecca","Harris","Con"
2015,40750,"Emily","Thornberry","Lab"
2015,40751,"Stewart","Hosie","SNP"
2015,40752,"Lisa","Cameron","SNP"
2015,40753,"Stephen","Hepburn","Lab"
2015,40754,"Siobhain","McDonagh","Lab"
2015,40755,"Marion","Fellows","SNP"
2015,40756,"Robert","Buckland","Con"
2015,40757,"Owen","Thompson","SNP"
2015,40758,"Chris","Bryant","Lab"
2015,40759,"Nick","Thomas-Symonds","Lab"
2015,40760,"Guto","Bebb","Con"
2015,40761,"Gavin","Robinson","DUP"
2015,40762,"Jonathan","Edwards","PC"
2015,40763,"John","Nicolson","SNP"
2015,40764,"Glyn","Davies","Con"
2015,40765,"Stewart","Jackson","Con"
2015,40766,"Chris","Davies","Con"
2015,40767,"Julie","Cooper","Lab"
2015,40768,"Mark","Field","Con"
2015,40769,"Rupa","Huq","Lab"
2015,40770,"Caroline","Dinenage","Con"
2015,40771,"Alan","Mak","Con"
2015,40772,"Roger","Mullin","SNP"
2015,40773,"Margaret","Ferrier","SNP"
2015,40774,"Stephen","Hammond","Con"
2015,40776,"Wayne","David","Lab"
2015,40777,"Ronnie","Cowan","SNP"
2015,40778,"Andy","Burnham","Lab"
2015,40779,"Gerald","Jones","Lab"
2015,40780,"Paul","Flynn","Lab"
2015,40781,"Kevan","Jones","Lab"
2015,40782,"Craig","Tracey","Con"
2015,40783,"Gavin","Newlands","SNP"
2015,40784,"James","Davies","Con"
2015,40785,"Karen","Buck","Lab"
2015,40786,"Robin","Walker","Con"
2015,40787,"Neil","Gray","SNP"
2015,40788,"Bob","Neill","Con"
2015,40789,"Simon","Burns","Con"
2015,40790,"Steve","Pound","Lab"
2015,40791,"Grahame","Morris","Lab"
2015,40792,"Kirsten","Oswald","SNP"
2015,40793,"Andrew","Slaughter","Lab"
2015,40794,"Andrew","Turner","Con"
2015,40795,"Philip","Hollobone","Con"
2015,40796,"Angela","Crawley","SNP"
2015,40797,"Angus","Robertson","SNP"
2015,40798,"Pat","Glass","Lab"
2015,40799,"David","Amess","Con"
2015,40800,"Steven","Paterson","SNP"
2015,40801,"Chuka","Umunna","Lab"
2015,40802,"David","Lammy","Lab"
2015,40803,"Stephen","Kinnock","Lab"
2015,40804,"Kate","Hollern","Lab"
2015,40805,"Patrick","Grady","SNP"
2015,40806,"Jessica","Morden","Lab"
2015,40807,"Patricia","Gibson","SNP"
2015,40808,"James","Duddridge","Con"
2015,40809,"John","Baron","Con"
2015,40810,"Jim","Cunningham","Lab"
2015,40811,"Stuart","McDonald","SNP"
2015,40812,"Liz","Saville-Roberts","PC"
2015,40813,"Natalie","McGarry","Independent"
2015,40814,"Andrew","Jones","Con"
2015,40815,"Oliver","Heald","Con"
2015,40816,"Tim","Farron","LDem"
2015,40817,"Lisa","Nandy","Lab"
2015,40818,"Nigel","Dodds","DUP"
2015,40819,"Jo","Stevens","Lab"
2015,40820,"Douglas","Chapman","SNP"
2015,40821,"Chris","Stephens","SNP"
2015,40822,"Robert","Halfon","Con"
2015,40823,"Iain","Wright","Lab"
2015,40824,"Mike","Gapes","Lab"
2015,40825,"George","Howarth","Lab"
2015,40826,"Martyn","Day","SNP"
2015,40827,"Carolyn","Harris","Lab"
2015,40828,"Kate","Hoey","Lab"
2015,40829,"Dan","Jarvis","Lab"
2015,40830,"Peter","Dowd","Lab"
2015,40831,"Andrew","Griffiths","Con"
2015,40832,"Greg","Hands","Con"
2015,40833,"David","Jones","Con"
2015,40834,"Helen","Hayes","Lab"
2015,40835,"Virendra","Sharma","Lab"
2015,40836,"Victoria","Borwick","Con"
2015,40837,"James","Berry","Con"
2015,40838,"Pete","Wishart","SNP"
2015,40839,"Owen","Smith","Lab"
2015,40840,"Anna","Turley","Lab"
2015,40841,"John","Spellar","Lab"
2015,40842,"Kirsty","Blackman","SNP"
2015,40843,"Mark","Tami","Lab"
2015,40844,"Bob","Stewart","Con"
2015,40845,"Dawn","Butler","Lab"
2015,40846,"Phil","Boswell","SNP"
2015,40847,"Geoffrey","Robinson","Lab"
2015,40848,"Ann","Clwyd","Lab"
2015,40849,"Yvonne","Fovargue","Lab"
2015,40850,"Sarah","Champion","Lab"
2015,40851,"Alex","Cunningham","Lab"
2015,40852,"Angela","Eagle","Lab"
2015,40853,"Adrian","Bailey","Lab"
2015,40854,"Helen","Goodman","Lab"
2015,40855,"Michelle","Donelan","Con"
2015,40856,"Henry","Smith","Con"
2015,40857,"David","Hanson","Lab"
2015,40858,"David","Burrowes","Con"
2015,40859,"Anne","McLaughlin","SNP"
2015,40860,"Melanie","Onn","Lab"
2015,40861,"Alasdair","McDonnell","SDLP"
2015,40862,"David","Crausby","Lab"
2015,40863,"Philippa","Whitford","SNP"
2015,40864,"Colleen","Fletcher","Lab"
2015,40865,"Graham","Jones","Lab"
2015,40866,"Wes","Streeting","Lab"
2015,40867,"Owen","Paterson","Con"
2015,40868,"Alistair","Carmichael","LDem"
2015,40869,"John","Glen","Con"
2015,40870,"Daniel","Kawczynski","Con"
2015,40871,"Marie","Rimmer","Lab"
2015,40872,"Neil","Carmichael","Con"
2015,40873,"Albert","Owen","Lab"
2015,40874,"Michael","Dugher","Lab"
2015,40875,"Maria","Eagle","Lab"
2015,40876,"Stewart","McDonald","SNP"
2015,40877,"Oliver","Dowden","Con"
2015,40878,"Stephen","Gethins","SNP"
2015,40879,"Huw","Irranca-Davies","Lab"
2015,40880,"Mark","Hendrick","Lab"
2015,40881,"Simon","Danczuk","Lab"
2015,40882,"Simon","Hart","Con"
2015,40883,"George","Kerevan","SNP"
2015,40884,"Ian","Mearns","Lab"
2015,40885,"Stephen","Metcalfe","Con"
2015,40886,"John","Healey","Lab"
2015,40887,"Neil","Coyle","Lab"
2015,40888,"Alison","Thewliss","SNP"
2015,40889,"Catherine","West","Lab"
2015,40890,"Zac","Goldsmith","Con"
2015,40891,"Craig","Williams","Con"
2015,40892,"Mims","Davies","Con"
2015,40893,"Tom","Watson","Lab"
2015,40894,"Douglas","Carswell","UKIP"
2015,40895,"Jackie","Doyle-Price","Con"
2015,40896,"Seema","Malhotra","Lab"
2015,40897,"Shailesh","Vara","Con"
2015,40898,"Paul","Scully","Con"
2015,40899,"Geraint","Davies","Lab"
2015,40900,"Rosie","Cooper","Lab"
2015,40901,"Nigel","Mills","Con"
2015,40902,"Eric","Pickles","Con"
2015,40903,"Charlotte","Leslie","Con"
2015,40904,"Ian","Murray","Lab"
2015,40905,"Ben","Bradshaw","Lab"
2015,40906,"Jonathan","Djanogly","Con"
2015,40907,"Christina","Rees","Lab"
2015,40908,"Julian","Lewis","Con"
2015,40909,"Kevin","Barron","Lab"
2015,40910,"James","Wharton","Con"
2015,40911,"Boris","Johnson","Con"
2015,40912,"Mike","Kane","Lab"
2015,40913,"Richard","Burden","Lab"
2015,40914,"Graham","Stringer","Lab"
2015,40915,"Ivan","Lewis","Lab"
2015,40916,"Teresa","Pearce","Lab"
2015,40917,"James","Brokenshire","Con"
2015,40918,"Jake","Berry","Con"
2015,40919,"Richard","Bacon","Con"
2015,40920,"Tania","Mathias","Con"
2015,40921,"Lyn","Brown","Lab"
2015,40922,"Harriett","Baldwin","Con"
2015,40923,"Ben","Howlett","Con"
2015,40924,"Barry","Gardiner","Lab"
2015,40925,"Caroline","Ansell","Con"
2015,40926,"Deidre","Brock","SNP"
2015,40928,"Diane","Abbott","Lab"
2015,40929,"Amber","Rudd","Con"
2015,40930,"John","Pugh","LDem"
2015,40931,"Lucy","Allan","Con"
2015,40932,"Kevin","Foster","Con"
2015,40933,"David","Anderson","Lab"
2015,40934,"Paul","Monaghan","SNP"
2015,40935,"Harriet","Harman","Lab"
2015,40936,"Alex","Chalk","Con"
2015,40937,"Toby","Perkins","Lab"
2015,40938,"Joan","Ryan","Lab"
2015,40939,"Meg","Hillier","Lab"
2015,40940,"James","Morris","Con"
2015,40941,"John Martin","McDonnell","Lab"
2015,40942,"Louise","Ellman","Lab"
2015,40943,"Mark","Francois","Con"
2015,40944,"Philip","Hammond","Con"
2015,40945,"Margaret","Ritchie","SDLP"
2015,40946,"Valerie","Vaz","Lab"
2015,40947,"Jack","Dromey","Lab"
2015,40948,"Tommy","Sheppard","SNP"
2015,40949,"Diana","Johnson","Lab"
2015,40950,"Karl","McCartney","Con"
2015,40951,"Desmond","Swayne","Con"
2015,40952,"Nicholas","Dakin","Lab"
2015,40953,"Nick","Clegg","LDem"
2015,40954,"Andrew","Mitchell","Con"
2015,40955,"Steve","Reed","Lab"
2015,40956,"Charlie","Elphicke","Con"
2015,40957,"David","Davis","Con"
2015,40958,"Michael","Meacher","Lab"
2015,40959,"Wendy","Morton","Con"
2015,40960,"Graham","Stuart","Con"
2015,40961,"Ruth","Cadbury","Lab"
2015,40962,"Theresa","Villiers","Con"
2015,40963,"Roberta","Blackman-Woods","Lab"
2015,40964,"David","Mundell","Con"
2015,40965,"Greg","Knight","Con"
2015,40966,"Tulip","Siddiq","Lab"
2015,40967,"Andrew","Bridgen","Con"
2015,40968,"Andrew","Stephenson","Con"
2015,40969,"Royston","Smith","Con"
2015,40970,"Matthew","Hancock","Con"
2015,40971,"Gordon","Marsden","Lab"
2015,40972,"George","Eustice","Con"
2015,40973,"Sam","Gyimah","Con"
2015,40974,"Richard","Graham","Con"
2015,40975,"Ben","Gummer","Con"
2015,40976,"Gerald","Kaufman","Lab"
2015,40977,"Bill","Wiggin","Con"
2015,40978,"Mary","Glindon","Lab"
2015,40979,"Kit","Malthouse","Con"
2015,40980,"Michael","Ellis","Con"
2015,40981,"David","Mackintosh","Con"
2015,40982,"Jim","Fitzpatrick","Lab"
2015,40983,"Michael","Fallon","Con"
2015,40984,"Heidi","Allen","Con"
2015,40985,"Alan","Whitehead","Lab"
2015,40986,"Greg","Clark","Con"
2015,40987,"Margaret","Greenwood","Lab"
2015,40988,"Steven","Baker","Con"
2015,40989,"Anna","Soubry","Con"
2015,40990,"Amanda","Milling","Con"
2015,40991,"Jamie","Reed","Lab"
2015,40992,"Ian","Austin","Lab"
2015,40993,"Richard","Arkless","SNP"
2015,40994,"Michelle","Thomson","Independent"
2015,40995,"Keir","Starmer","Lab"
2015,40996,"James","Gray","Con"
2015,40997,"Paul","Blomfield","Lab"
2015,40998,"Alan","Campbell","Lab"
2015,40999,"Nusrat","Ghani","Con"
2015,41000,"Maria","Miller","Con"
2015,41001,"Liam","Byrne","Lab"
2015,41002,"David","Nuttall","Con"
2015,41003,"Mike","Freer","Con"
2015,41004,"Damian","Collins","Con"
2015,41005,"Byron","Davies","Con"
2015,41006,"Andrew","Bingham","Con"
2015,41007,"Peter","Lilley","Con"
2015,41008,"Clive","Lewis","Lab"
2015,41009,"Louise","Haigh","Lab"
2015,41010,"Fiona","Mactaggart","Lab"
2015,41011,"Margot","James","Con"
2015,41012,"Nadhim","Zahawi","Con"
2015,41013,"Emma","Reynolds","Lab"
2015,41014,"Sue","Hayman","Lab"
2015,41015,"Barbara","Keeley","Lab"
2015,41016,"Ben","Wallace","Con"
2015,41017,"Damian","Green","Con"
2015,41018,"Chris","Green","Con"
2015,41020,"William","Wragg","Con"
2015,41021,"Angela","Watkinson","Con"
2015,41022,"Barry","Sheerman","Lab"
2015,41023,"Michael","Fabricant","Con"
2015,41024,"Yvette","Cooper","Lab"
2015,41025,"Andrew","Rosindell","Con"
2015,41026,"Ian","Blackford","SNP"
2015,41027,"Steve","McCabe","Lab"
2015,41028,"Andrew","Percy","Con"
2015,41029,"Ed","Miliband","Lab"
2015,41030,"Mike","Wood","Con"
2015,41031,"Antoinette","Sandbach","Con"
2015,41032,"Tom","Elliott","UUP"
2015,41033,"Steve","Rotheram","Lab"
2015,41034,"Robert","Goodwill","Con"
2015,41035,"Clive","Betts","Lab"
2015,41036,"Stephen","Phillips","Con"
2015,41037,"John","Mann","Lab"
2015,41038,"Jess","Phillips","Lab"
2015,41039,"Stephen","Timms","Lab"
2015,41040,"Kate","Osamor","Lab"
2015,41041,"Clive","Efford","Lab"
2015,41042,"Matthew","Offord","Con"
2015,41043,"Jim","Dowd","Lab"
2015,41044,"Jeff","Smith","Lab"
2015,41045,"George","Freeman","Con"
2015,41047,"Jacob","Rees-Mogg","Con"
2015,41048,"Johnny","Mercer","Con"
2015,41049,"Nigel","Evans","Con"
2015,41050,"Rebecca","Long-Bailey","Lab"
2015,41051,"Harry","Harpham","Lab"
2015,41052,"Anne","Main","Con"
2015,41053,"Alun","Cairns","Con"
2015,41054,"Jonathan","Lord","Con"
2015,41055,"Pat","McFadden","Lab"
2015,41056,"Graham","Brady","Con"
2015,41057,"Brendan","O'Hara","SNP"
2015,41058,"Rushanara","Ali","Lab"
2015,41059,"Paul","Maynard","Con"
2015,41060,"David","Tredinnick","Con"
2015,41061,"Maggie","Throup","Con"
2015,41062,"Mark","Menzies","Con"
2015,41063,"Anne","Milton","Con"
2015,41064,"Richard","Benyon","Con"
2015,41065,"Debbie","Abrahams","Lab"
2015,41066,"David","Warburton","Con"
2015,41067,"Luke","Hall","Con"
2015,41068,"Thomas","Tugendhat","Con"
2015,41069,"John","Redwood","Con"
2015,41070,"Gloria","De Piero","Lab"
2015,41071,"Shabana","Mahmood","Lab"
2015,41072,"Phillip","Lee","Con"
2015,41073,"Imran","Hussain","Lab"
2015,41074,"James","Cleverly","Con"
2015,41075,"Christopher","Chope","Con"
2015,41076,"Chris","Philp","Con"
2015,41077,"Rosie","Winterton","Lab"
2015,41078,"Justin","Madders","Lab"
2015,41079,"Matthew","Pennycook","Lab"
2015,41080,"Bob","Blackman","Con"
2015,41081,"Jesse","Norman","Con"
2015,41082,"Mark","Prisk","Con"
2015,41083,"Heidi","Alexander","Lab"
2015,41084,"Paul","Farrelly","Lab"
2015,41085,"David","Cameron","Con"
2015,41086,"Rob","Marris","Lab"
2015,41087,"Kerry","McCarthy","Lab"
2015,41088,"Caroline","Flint","Lab"
2015,41089,"Vicky","Foxcroft","Lab"
2015,41090,"Lucy","Powell","Lab"
2015,41091,"Nigel","Huddleston","Con"
2015,41092,"Anne Marie","Morris","Con"
2015,41093,"Rory","Stewart","Con"
2015,41094,"Caroline","Nokes","Con"
2015,41095,"Julian","Smith","Con"
2015,41096,"Ann","Coffey","Lab"
2015,41097,"Sarah","Wollaston","Con"
2015,41098,"Jack","Lopresti","Con"
2015,41099,"Drew","Hendry","SNP"
2015,41100,"Scott","Mann","Con"
2015,41101,"Bill","Esterson","Lab"
2015,41102,"Marcus","Fysh","Con"
2015,41103,"David","Lidington","Con"
2015,41104,"Gisela","Stuart","Lab"
2015,41105,"Roger","Godsiff","Lab"
2015,41106,"Conor","Burns","Con"
2015,41107,"Naseem","Shah","Lab"
2015,41108,"Daniel","Zeichner","Lab"
2015,41109,"Tom","Pursglove","Con"
2015,41110,"Damian","Hinds","Con"
2015,41111,"Bernard","Jenkin","Con"
2015,41112,"Jon","Ashworth","Lab"
2015,41113,"Theresa","May","Con"
2015,41114,"Helen","Grant","Con"
2015,41115,"Angela","Smith","Lab"
2015,41116,"Karen","Lumley","Con"
2015,41117,"Alan","Haselhurst","Con"
2015,41118,"Mark","Spencer","Con"
2015,41119,"Julian","Knight","Con"
2015,41120,"Seema","Kennedy","Con"
2015,41121,"Tristram","Hunt","Lab"
2015,41122,"Grant","Shapps","Con"
2015,41123,"Khalid","Mahmood","Lab"
2015,41124,"Karin","Smyth","Lab"
2015,41125,"Jason","McCartney","Con"
2015,41126,"Chris","Heaton-Harris","Con"
2015,41127,"Chris","Skidmore","Con"
2015,41128,"Richard","Burgon","Lab"
2015,41129,"Nicky","Morgan","Con"
2015,41130,"Robert","Jenrick","Con"
2015,41131,"Penny","Mordaunt","Con"
2015,41132,"Flick","Drummond","Con"
2015,41133,"Mark","Pawsey","Con"
2015,41134,"Alan","Duncan","Con"
2015,41135,"Kate","Green","Lab"
2015,41136,"Mary","Creagh","Lab"
2015,41137,"Priti","Patel","Con"
2015,41139,"Iain","Duncan Smith","Con"
2015,41140,"Jon","Trickett","Lab"
2015,41141,"John","Howell","Con"
2015,41142,"Oliver","Letwin","Con"
2015,41143,"Tobias","Ellwood","Con"
2015,41144,"Judith","Cummins","Lab"
2015,41145,"Hilary","Benn","Lab"
2015,41146,"Lilian","Greenwood","Lab"
2015,41147,"Karen","Bradley","Con"
2015,41148,"Jo","Cox","Lab"
2015,41149,"Matt","Warman","Con"
2015,41150,"Edward","Argar","Con"
2015,41151,"Cheryl","Gillan","Con"
2015,41152,"Liz","Kendall","Lab"
2015,41153,"Maria","Caulfield","Con"
2015,41154,"John","Cryer","Lab"
2015,41155,"Iain","Stewart","Con"
2015,41156,"Gavin","Barwell","Con"
2015,41157,"Gareth","Johnson","Con"
2015,41158,"Patrick","McLoughlin","Con"
2015,41159,"Chris","Grayling","Con"
2015,41160,"Helen","Whately","Con"
2015,41161,"Brandon","Lewis","Con"
2015,41162,"Rachel","Reeves","Lab"
2015,41163,"Alan","Meale","Lab"
2015,41164,"Caroline","Spelman","Con"
2015,41165,"Graham","Allen","Lab"
2015,41166,"Lucy","Frazer","Con"
2015,41167,"Gavin","Williamson","Con"
2015,41168,"Stella","Creasy","Lab"
2015,41169,"Helen","Jones","Lab"
2015,41170,"Callum","McCaig","SNP"
2015,41171,"Gerald","Howarth","Con"
2015,41172,"Corri","Wilson","SNP"
2015,41173,"Eilidh","Whiteford","SNP"
2015,41174,"Margaret","Hodge","Lab"
2015,41175,"Andrew","Tyrie","Con"
2015,41176,"Alec","Shelbrooke","Con"
2015,41177,"Nicholas","Boles","Con"
2015,41179,"Chris","Leslie","Lab"
2015,41180,"Nicola","Blackwood","Con"
2015,41181,"Sheryll","Murray","Con"
2015,41182,"Jeremy","Hunt","Con"
2015,41183,"Graham","Evans","Con"
2015,41184,"Adam","Afriyie","Con"
2015,41185,"Dominic","Grieve","Con"
2015,41186,"David","Evennett","Con"
2015,41187,"Frank","Field","Lab"
2015,41188,"Yasmin","Qureshi","Lab"
2015,41189,"Madeleine","Moon","Lab"
2015,41190,"Simon","Kirby","Con"
2015,41191,"Daniel","Poulter","Con"
2015,41192,"Tom","Blenkinsop","Lab"
2015,41193,"Richard","Drax","Con"
2015,41194,"John","Woodcock","Lab"
2015,41195,"Thangam","Debbonaire","Lab"
2015,41196,"Julian","Brazier","Con"
2015,41197,"Stephen","Doughty","Lab"
2015,41198,"Kevin","Brennan","Lab"
2015,41199,"John","Stevenson","Con"
2015,41200,"Tom","Brake","LDem"
2015,41201,"Martin","Vickers","Con"
2015,41202,"Adam","Holloway","Con"
2015,41203,"Robert","Syms","Con"
2015,41204,"Kenneth","Clarke","Con"
2015,41205,"Therese","Coffey","Con"
2015,41206,"Mark","Garnier","Con"
2015,41207,"Will","Quince","Con"
2015,41208,"Jon","Cruddas","Lab"
2015,41209,"Margaret","Beckett","Lab"
