"year","mpid","firstname","surname","party"
2019,42228,"Siobhain","McDonagh","Lab"
2019,42229,"Caroline","Ansell","Con"
2019,42230,"Vicky","Ford","Con"
2019,42231,"Alex","Davies-Jones","Lab"
2019,42232,"Richard","Graham","Con"
2019,42233,"Simon","Clarke","Con"
2019,42234,"Nick","Thomas-Symonds","Lab"
2019,42235,"Chris","Clarkson","Con"
2019,42236,"Mark","Harper","Con"
2019,42237,"Beth","Winter","Lab"
2019,42238,"Neil","Gray","SNP"
2019,42239,"Andrew","Rosindell","Con"
2019,42240,"Stephen","Metcalfe","Con"
2019,42241,"Gregory","Campbell","DUP"
2019,42242,"John","Spellar","Lab"
2019,42243,"Jonathan","Edwards","PC"
2019,42244,"Kirsten","Oswald","SNP"
2019,42245,"Angela","Richardson","Con"
2019,42246,"Damian","Green","Con"
2019,42247,"Dean","Russell","Con"
2019,42248,"Jamie","Wallis","Con"
2019,42249,"Katherine","Fletcher","Con"
2019,42250,"Rosena","Allin-Khan","Lab"
2019,42251,"Andrew","Stephenson","Con"
2019,42252,"George","Eustice","Con"
2019,42253,"Christina","Rees","Lab"
2019,42254,"Emily","Thornberry","Lab"
2019,42255,"Janet","Daby","Lab"
2019,42256,"Alan","Mak","Con"
2019,42257,"Natalie","Elphicke","Con"
2019,42258,"Rosie","Cooper","Lab"
2019,42259,"Vicky","Foxcroft","Lab"
2019,42260,"Virendra","Sharma","Lab"
2019,42261,"Owen","Thompson","SNP"
2019,42262,"Robin","Millar","Con"
2019,42263,"Gill","Furniss","Lab"
2019,42264,"Mary","Foy","Lab"
2019,42265,"Pat","McFadden","Lab"
2019,42266,"Mark","Garnier","Con"
2019,42267,"Nadine","Dorries","Con"
2019,42268,"Nicola","Richards","Con"
2019,42269,"Gillian","Keegan","Con"
2019,42270,"Laura","Farris","Con"
2019,42271,"Nigel","Mills","Con"
2019,42272,"Sajid","Javid","Con"
2019,42273,"Karl","Turner","Lab"
2019,42274,"Caroline","Dinenage","Con"
2019,42275,"Hilary","Benn","Lab"
2019,42276,"Navendu","Mishra","Lab"
2019,42277,"Chris","Law","SNP"
2019,42278,"Maggie","Throup","Con"
2019,42279,"Robin","Walker","Con"
2019,42280,"Tom","Randall","Con"
2019,42281,"John Martin","McDonnell","Lab"
2019,42282,"Karen","Buck","Lab"
2019,42283,"Mary","Glindon","Lab"
2019,42284,"Siobhan","Baillie","Con"
2019,42285,"Edward","Davey","LDem"
2019,42286,"Valerie","Vaz","Lab"
2019,42287,"Dominic","Raab","Con"
2019,42288,"James","Cleverly","Con"
2019,42289,"Sarah","Olney","LDem"
2019,42290,"Clive","Efford","Lab"
2019,42291,"Crispin","Blunt","Con"
2019,42292,"Kate","Griffiths","Con"
2019,42293,"Robert","Courts","Con"
2019,42294,"Robert","Largan","Con"
2019,42295,"Antony","Higginbotham","Con"
2019,42296,"Douglas","Ross","Con"
2019,42297,"Eddie","Hughes","Con"
2019,42298,"Virginia","Crosbie","Con"
2019,42299,"Julian","Lewis","Con"
2019,42300,"Jeremy","Corbyn","Lab"
2019,42301,"Kenny","MacAskill","SNP"
2019,42302,"Craig","Tracey","Con"
2019,42303,"Duncan","Baker","Con"
2019,42304,"Nadia","Whittome","Lab"
2019,42305,"Andrew","Selous","Con"
2019,42306,"Esther","McVey","Con"
2019,42307,"Giles","Watling","Con"
2019,42308,"Jonathan","Djanogly","Con"
2019,42309,"Anneliese","Dodds","Lab"
2019,42310,"Abena","Oppong-Asare","Lab"
2019,42311,"Saqib","Bhatti","Con"
2019,42312,"Paul","Girvan","DUP"
2019,42313,"Grahame","Morris","Lab"
2019,42314,"Tonia","Antoniazzi","Lab"
2019,42315,"Hywel","Williams","PC"
2019,42316,"Alyn","Smith","SNP"
2019,42317,"Stephen","Farry","Alliance"
2019,42318,"Anthony","Browne","Con"
2019,42319,"Laura","Trott","Con"
2019,42320,"Darren","Jones","Lab"
2019,42321,"Mark","Pritchard","Con"
2019,42322,"Rob","Roberts","Con"
2019,42323,"Sarah","Champion","Lab"
2019,42324,"Matt","Vickers","Con"
2019,42325,"Ruth","Edwards","Con"
2019,42326,"Greg","Hands","Con"
2019,42327,"Paul","Howell","Con"
2019,42328,"Wendy","Morton","Con"
2019,42329,"Kerry","McCarthy","Lab"
2019,42330,"Rosie","Winterton","Lab"
2019,42331,"Thangam","Debbonaire","Lab"
2019,42332,"Angus","MacNeil","SNP"
2019,42333,"Andrew","Jones","Con"
2019,42334,"Bob","Blackman","Con"
2019,42335,"David","Rutley","Con"
2019,42336,"Florence","Eshalomi","Lab"
2019,42337,"Guy","Opperman","Con"
2019,42338,"Rebecca","Harris","Con"
2019,42339,"Gavin","Robinson","DUP"
2019,42340,"Bell","Ribeiro-Addy","Lab"
2019,42341,"Tan","Dhesi","Lab"
2019,42342,"Tulip","Siddiq","Lab"
2019,42343,"Brandon","Lewis","Con"
2019,42344,"Edward","Timpson","Con"
2019,42345,"Jacob","Rees-Mogg","Con"
2019,42346,"James","Cartlidge","Con"
2019,42347,"James","Davies","Con"
2019,42348,"Victoria","Atkins","Con"
2019,42349,"Maria","Eagle","Lab"
2019,42350,"Gareth","Davies","Con"
2019,42351,"Leo","Docherty","Con"
2019,42352,"Jeremy","Wright","Con"
2019,42353,"Nicholas","Fletcher","Con"
2019,42354,"Dan","Carden","Lab"
2019,42356,"James","Sunderland","Con"
2019,42357,"Lyn","Brown","Lab"
2019,42358,"Alan","Brown","SNP"
2019,42359,"Steven","Bonnar","SNP"
2019,42360,"Craig","Williams","Con"
2019,42361,"Andrew","Slaughter","Lab"
2019,42362,"George","Freeman","Con"
2019,42363,"Clive","Betts","Lab"
2019,42364,"Lilian","Greenwood","Lab"
2019,42365,"Edward","Leigh","Con"
2019,42366,"Mark","Francois","Con"
2019,42367,"Brendan","Clarke-Smith","Con"
2019,42368,"Graham","Stuart","Con"
2019,42369,"Stephen","Doughty","Lab"
2019,42370,"Marie","Rimmer","Lab"
2019,42371,"William","Wragg","Con"
2019,42372,"Amy","Callaghan","SNP"
2019,42373,"Claire","Hanna","SDLP"
2019,42374,"Andrew","Lewer","Con"
2019,42375,"Chris","Grayling","Con"
2019,42376,"Alexander","Stafford","Con"
2019,42377,"Karl","McCartney","Con"
2019,42378,"Lia","Nici","Con"
2019,42379,"Ed","Miliband","Lab"
2019,42380,"Rachel","Reeves","Lab"
2019,42381,"Kirsty","Blackman","SNP"
2019,42382,"James","Wild","Con"
2019,42383,"Stephen","Flynn","SNP"
2019,42384,"Matt","Rodda","Lab"
2019,42385,"Anthony","Mangnall","Con"
2019,42386,"Daniel","Poulter","Con"
2019,42387,"Maria","Miller","Con"
2019,42388,"Priti","Patel","Con"
2019,42389,"Simon","Fell","Con"
2019,42390,"Allan","Dorans","SNP"
2019,42391,"Ben","Bradley","Con"
2019,42392,"Robert","Jenrick","Con"
2019,42393,"Sammy","Wilson","DUP"
2019,42394,"Stephen","Morgan","Lab"
2019,42395,"Rachel","Maclean","Con"
2019,42396,"Khalid","Mahmood","Lab"
2019,42397,"Tony","Lloyd","Lab"
2019,42398,"Stewart","Hosie","SNP"
2019,42399,"Alex","Burghart","Con"
2019,42400,"James","Brokenshire","Con"
2019,42401,"Nick","Smith","Lab"
2019,42402,"Stephen","Timms","Lab"
2019,42403,"Hannah","Bardell","SNP"
2019,42404,"Darren","Henry","Con"
2019,42405,"Anne","McLaughlin","SNP"
2019,42406,"Heather","Wheeler","Con"
2019,42407,"Preet","Kaur Gill","Lab"
2019,42408,"Shabana","Mahmood","Lab"
2019,42409,"Lee","Rowley","Con"
2019,42410,"Jack","Dromey","Lab"
2019,42411,"Liam","Byrne","Lab"
2019,42412,"Kevan","Jones","Lab"
2019,42413,"Wendy","Chamberlain","LDem"
2019,42414,"Neale","Hanvey","Independent"
2019,42415,"Christian","Wakeford","Con"
2019,42416,"Diana","Johnson","Lab"
2019,42417,"Matthew","Pennycook","Lab"
2019,42418,"Bob","Seely","Con"
2019,42419,"Caroline","Johnson","Con"
2019,42420,"Christopher","Pincher","Con"
2019,42421,"Emma","Hardy","Lab"
2019,42422,"Daniel","Kawczynski","Con"
2019,42423,"Angela","Rayner","Lab"
2019,42424,"Jon","Ashworth","Lab"
2019,42425,"Martin","Vickers","Con"
2019,42426,"Yvette","Cooper","Lab"
2019,42427,"David","Linden","SNP"
2019,42428,"Patrick","Grady","SNP"
2019,42429,"Neil","Hudson","Con"
2019,42430,"Sara","Britcliffe","Con"
2019,42431,"Sarah","Dines","Con"
2019,42432,"Andrew","Mitchell","Con"
2019,42433,"Bob","Neill","Con"
2019,42434,"Harriett","Baldwin","Con"
2019,42435,"Joy","Morrissey","Con"
2019,42436,"Barry","Gardiner","Lab"
2019,42437,"Mike","Amesbury","Lab"
2019,42438,"Adam","Holloway","Con"
2019,42439,"Alister","Jack","Con"
2019,42440,"Greg","Knight","Con"
2019,42441,"John","McNally","SNP"
2019,42442,"Theresa","May","Con"
2019,42443,"Andrew","Gwynne","Lab"
2019,42444,"Richard","Burgon","Lab"
2019,42445,"Ben","Lake","PC"
2019,42446,"John","Lamont","Con"
2019,42447,"Alex","Sobel","Lab"
2019,42448,"Cat","Smith","Lab"
2019,42449,"Fabian","Hamilton","Lab"
2019,42450,"Andrew","Bridgen","Con"
2019,42451,"Richard","Drax","Con"
2019,42452,"Gareth","Thomas","Lab"
2019,42453,"Caroline","Nokes","Con"
2019,42454,"Julie","Marson","Con"
2019,42455,"Rishi","Sunak","Con"
2019,42456,"Stuart","McDonald","SNP"
2019,42457,"Bob","Stewart","Con"
2019,42458,"Stephen","Hammond","Con"
2019,42459,"Stewart","McDonald","SNP"
2019,42460,"Luke","Hall","Con"
2019,42461,"Diane","Abbott","Lab"
2019,42462,"Anna","McMorrin","Lab"
2019,42463,"Karin","Smyth","Lab"
2019,42464,"Michael","Ellis","Con"
2019,42465,"Shailesh","Vara","Con"
2019,42466,"Caroline","Lucas","Green"
2019,42467,"Ben","Wallace","Con"
2019,42468,"Selaine","Saxby","Con"
2019,42469,"Rachael","Maskell","Lab"
2019,42470,"Boris","Johnson","Con"
2019,42471,"Henry","Smith","Con"
2019,42472,"Fay","Jones","Con"
2019,42473,"Helen","Whately","Con"
2019,42474,"Steve","Barclay","Con"
2019,42475,"Mary","Robinson","Con"
2019,42476,"Paul","Scully","Con"
2019,42477,"Simon","Hart","Con"
2019,42478,"Kate","Hollern","Lab"
2019,42479,"Desmond","Swayne","Con"
2019,42480,"Jo","Churchill","Con"
2019,42481,"Ian","Murray","Lab"
2019,42482,"Damian","Hinds","Con"
2019,42483,"Jo","Gideon","Con"
2019,42484,"Toby","Perkins","Lab"
2019,42485,"Gavin","Williamson","Con"
2019,42486,"Kieran","Mullan","Con"
2019,42487,"Andy","Carter","Con"
2019,42488,"Charlotte","Nichols","Lab"
2019,42489,"Kelly","Tolhurst","Con"
2019,42490,"Neil","Coyle","Lab"
2019,42491,"Martyn","Day","SNP"
2019,42492,"Sarah","Jones","Lab"
2019,42493,"Chris","Skidmore","Con"
2019,42494,"Richard","Bacon","Con"
2019,42495,"Margaret","Hodge","Lab"
2019,42496,"Jim","McMahon","Lab"
2019,42497,"Debbie","Abrahams","Lab"
2019,42498,"Gareth","Bacon","Con"
2019,42499,"Mark","Logan","Con"
2019,42500,"Gary","Sambrook","Con"
2019,42501,"Oliver","Heald","Con"
2019,42502,"Jess","Phillips","Lab"
2019,42503,"Tahir","Ali","Lab"
2019,42504,"Ben","Spencer","Con"
2019,42505,"Claire","Coutinho","Con"
2019,42506,"Daniel","Zeichner","Lab"
2019,42507,"David","Davies","Con"
2019,42508,"Stuart","Andrew","Con"
2019,42509,"Chris","Matheson","Lab"
2019,42510,"Peter","Grant","SNP"
2019,42511,"Huw","Merriman","Con"
2019,42512,"Felicity","Buchan","Con"
2019,42513,"Jonathan","Lord","Con"
2019,42514,"Meg","Hillier","Lab"
2019,42515,"David","Lammy","Lab"
2019,42516,"David","Simmonds","Con"
2019,42517,"Greg","Clark","Con"
2019,42518,"Mims","Davies","Con"
2019,42519,"Lucy","Powell","Lab"
2019,42520,"Richard","Holden","Con"
2019,42521,"Barbara","Keeley","Lab"
2019,42522,"Alberto","Costa","Con"
2019,42523,"Alec","Shelbrooke","Con"
2019,42524,"Gordon","Henderson","Con"
2019,42525,"Lee","Anderson","Con"
2019,42526,"Jo","Stevens","Lab"
2019,42527,"Louise","Haigh","Lab"
2019,42528,"Adam","Afriyie","Con"
2019,42529,"Richard","Fuller","Con"
2019,42530,"Rob","Butler","Con"
2019,42531,"John","Healey","Lab"
2019,42532,"David","Morris","Con"
2019,42533,"Stephen","Crabb","Con"
2019,42534,"Mark","Tami","Lab"
2019,42535,"Dawn","Butler","Lab"
2019,42536,"Feryal","Clark","Lab"
2019,42537,"Douglas","Chapman","SNP"
2019,42538,"Bill","Wiggin","Con"
2019,42539,"Michael","Gove","Con"
2019,42540,"Bambos","Charalambous","Lab"
2019,42541,"Miriam","Cates","Con"
2019,42542,"Marion","Fellows","SNP"
2019,42543,"Andrew","Murrison","Con"
2019,42544,"Cheryl","Gillan","Con"
2019,42545,"Jeremy","Hunt","Con"
2019,42546,"Jonathan","Gullis","Con"
2019,42547,"Geoffrey","Clifton-Brown","Con"
2019,42548,"Jack","Brereton","Con"
2019,42549,"Lloyd","Russell-Moyle","Lab"
2019,42550,"Catherine","West","Lab"
2019,42551,"Anne-Marie","Trevelyan","Con"
2019,42552,"Neil","O'Brien","Con"
2019,42553,"Margaret","Beckett","Lab"
2019,42554,"Graham","Stringer","Lab"
2019,42555,"Julian","Smith","Con"
2019,42556,"Harriet","Harman","Lab"
2019,42557,"Matt","Western","Lab"
2019,42558,"Andrew","Percy","Con"
2019,42559,"Bim","Afolami","Con"
2019,42560,"Nigel","Adams","Con"
2019,42561,"Joanna","Cherry","SNP"
2019,42562,"Karen","Bradley","Con"
2019,42563,"Seema","Malhotra","Lab"
2019,42564,"Jon","Trickett","Lab"
2019,42565,"Andrea","Jenkyns","Con"
2019,42566,"Theo","Clarke","Con"
2019,42567,"Ruth","Cadbury","Lab"
2019,42568,"Daisy","Cooper","LDem"
2019,42569,"Jack","Lopresti","Con"
2019,42570,"Ben","Bradshaw","Lab"
2019,42571,"Helen","Grant","Con"
2019,42572,"James","Gray","Con"
2019,42573,"Penny","Mordaunt","Con"
2019,42574,"Sally-Ann","Hart","Con"
2019,42575,"Chloe","Smith","Con"
2019,42576,"Carol","Monaghan","SNP"
2019,42577,"Bill","Cash","Con"
2019,42578,"Michelle","Donelan","Con"
2019,42579,"Helen","Hayes","Lab"
2019,42580,"Alison","Thewliss","SNP"
2019,42581,"Chris","Stephens","SNP"
2019,42582,"James","Heappey","Con"
2019,42583,"Mike","Wood","Con"
2019,42584,"Philip","Dunne","Con"
2019,42585,"Kate","Green","Lab"
2019,42586,"Owen","Paterson","Con"
2019,42587,"Keir","Starmer","Lab"
2019,42588,"Paul","Blomfield","Lab"
2019,42589,"Paul","Beresford","Con"
2019,42590,"Colum","Eastwood","SDLP"
2019,42591,"Alok","Sharma","Con"
2019,42592,"Jeffrey","Donaldson","DUP"
2019,42593,"David","Duguid","Con"
2019,42594,"Kit","Malthouse","Con"
2019,42595,"Victoria","Prentis","Con"
2019,42596,"Mohammad","Yasin","Lab"
2019,42597,"Rushanara","Ali","Lab"
2019,42598,"David","Evennett","Con"
2019,42599,"Nick","Gibb","Con"
2019,42600,"Conor","Burns","Con"
2019,42601,"Mark","Fletcher","Con"
2019,42602,"Matt","Warman","Con"
2019,42603,"Tobias","Ellwood","Con"
2019,42604,"Jonathan","Reynolds","Lab"
2019,42605,"Ian","Liddell-Grainger","Con"
2019,42606,"Thomas","Tugendhat","Con"
2019,42607,"Judith","Cummins","Lab"
2019,42608,"Craig","Whittaker","Con"
2019,42609,"Jerome","Mayhew","Con"
2019,42610,"Julian","Sturdy","Con"
2019,42611,"Peter","Aldous","Con"
2019,42612,"Jake","Berry","Con"
2019,42613,"Mel","Stride","Con"
2019,42614,"Kevin","Brennan","Lab"
2019,42615,"John","Glen","Con"
2019,42616,"Rebecca","Long-Bailey","Lab"
2019,42617,"Laurence","Robertson","Con"
2019,42618,"Tim","Loughton","Con"
2019,42619,"Holly","Lynch","Lab"
2019,42620,"David","Mundell","Con"
2019,42621,"Drew","Hendry","SNP"
2019,42622,"Chris","Heaton-Harris","Con"
2019,42623,"Gareth","Johnson","Con"
2019,42624,"James","Daly","Con"
2019,42625,"Mark","Spencer","Con"
2019,42626,"Philip","Davies","Con"
2019,42627,"John","Whittingdale","Con"
2019,42628,"Rebecca","Pow","Con"
2019,42629,"Graham","Brady","Con"
2019,42630,"Alicia","Kearns","Con"
2019,42631,"John","Penrose","Con"
2019,42632,"Mike","Freer","Con"
2019,42633,"Elliot","Colburn","Con"
2019,42634,"Olivia","Blake","Lab"
2019,42635,"Zarah","Sultana","Lab"
2019,42636,"Ben","Everitt","Con"
2019,42637,"Iain","Stewart","Con"
2019,42638,"Barry","Sheerman","Lab"
2019,42639,"Mike","Kane","Lab"
2019,42640,"Simon","Jupp","Con"
2019,42641,"Tracy","Brabin","Lab"
2019,42642,"Sam","Tarry","Lab"
2019,42643,"Wes","Streeting","Lab"
2019,42644,"Maria","Caulfield","Con"
2019,42645,"Rehman","Chishti","Con"
2019,42646,"Jamie","Stone","LDem"
2019,42647,"Royston","Smith","Con"
2019,42648,"Alan","Whitehead","Lab"
2019,42649,"Deidre","Brock","SNP"
2019,42650,"Philippa","Whitford","SNP"
2019,42652,"Danny","Kruger","Con"
2019,42653,"Edward","Argar","Con"
2019,42654,"Tracey","Crouch","Con"
2019,42655,"Apsana","Begum","Lab"
2019,42656,"Peter","Kyle","Lab"
2019,42657,"Ian","Paisley","DUP"
2019,42658,"Christine","Jardine","LDem"
2019,42659,"Fiona","Bruce","Con"
2019,42660,"Luke","Pollard","Lab"
2019,42661,"Tommy","Sheppard","SNP"
2019,42662,"Kwasi","Kwarteng","Con"
2019,42663,"Tom","Pursglove","Con"
2019,42664,"Colleen","Fletcher","Lab"
2019,42665,"Taiwo","Owatemi","Lab"
2019,42666,"Aaron","Bell","Con"
2019,42667,"Grant","Shapps","Con"
2019,42668,"Craig","Mackinlay","Con"
2019,42669,"Jon","Cruddas","Lab"
2019,42670,"Amanda","Solloway","Con"
2019,42671,"Liam","Fox","Con"
2019,42672,"Lucy","Frazer","Con"
2019,42673,"Marco","Longhi","Con"
2019,42674,"Carla","Lockhart","DUP"
2019,42675,"Flick","Drummond","Con"
2019,42676,"Justin","Madders","Lab"
2019,42677,"Chris","Loder","Con"
2019,42678,"Neil","Parish","Con"
2019,42679,"Richard","Thomson","SNP"
2019,42680,"Gagan","Mohindra","Con"
2019,42681,"James","Morris","Con"
2019,42682,"Afzal","Khan","Lab"
2019,42683,"Jeff","Smith","Lab"
2019,42684,"Jane","Hunt","Con"
2019,42685,"John","Howell","Con"
2019,42686,"Johnny","Mercer","Con"
2019,42687,"Robert","Syms","Con"
2019,42688,"Jesse","Norman","Con"
2019,42689,"Marcus","Fysh","Con"
2019,42690,"Peter","Bottomley","Con"
2019,42691,"Robbie","Moore","Con"
2019,42692,"Michael","Tomlinson","Con"
2019,42693,"Pauline","Latham","Con"
2019,42694,"Steve","Brine","Con"
2019,42695,"Christopher","Chope","Con"
2019,42696,"Mark","Eastwood","Con"
2019,42697,"Scott","Mann","Con"
2019,42698,"Theresa","Villiers","Con"
2019,42699,"Matthew","Offord","Con"
2019,42700,"Roger","Gale","Con"
2019,42701,"Layla","Moran","LDem"
2019,42702,"Ian","Blackford","SNP"
2019,42703,"David","Warburton","Con"
2019,42704,"David","Johnston","Con"
2019,42705,"Sheryll","Murray","Con"
2019,42706,"Elizabeth","Truss","Con"
2019,42707,"Greg","Smith","Con"
2019,42708,"Steve","Double","Con"
2019,42709,"Therese","Coffey","Con"
2019,42710,"Andrew","Bowie","Con"
2019,42711,"Suzanne","Webb","Con"
2019,42712,"Brendan","O'Hara","SNP"
2019,42713,"Kevin","Hollinrake","Con"
2019,42714,"Jason","McCartney","Con"
2019,42715,"Gary","Streeter","Con"
2019,42716,"Alistair","Carmichael","LDem"
2019,42717,"Steve","Reed","Lab"
2019,42718,"Simon","Hoare","Con"
2019,42719,"Alex","Chalk","Con"
2019,42720,"Chris","Philp","Con"
2019,42721,"Jeremy","Quin","Con"
2019,42723,"Geoffrey","Cox","Con"
2019,42724,"Andrea","Leadsom","Con"
2019,42725,"Andrew","Griffith","Con"
2019,42726,"Derek","Thomas","Con"
2019,42727,"Neale","Hanvey","Independent"
2019,42728,"Jonathan","Edwards","PC"
2019,42729,"Julian","Lewis","Con"
